"ActivityDT","ActivityCount","SourceHost","SourceDatabase","SourceTable"
"01/11/1994",6872,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/1995",7210,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/1996",5441,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/1997",1613,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/1998",1455,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/1999",2941,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/2000",1734,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/2001",4731,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/2002",4741,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/2003",1351,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/11/2004",4380,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/1993",5518,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/1994",6075,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/1995",5463,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/1996",1533,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/1997",7387,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/1998",6897,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/1999",1872,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/2000",1501,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/2001",1405,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/2002",1093,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/2003",4573,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"01/12/2004",4069,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/1994",752,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/1995",1458,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/1996",6339,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/1997",5597,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/1998",4597,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/1999",1652,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/2000",536,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/2001",1712,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/2002",4204,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/2003",4252,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/2004",3780,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/01/2005",230,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/1994",6015,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/1995",6104,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/1996",6179,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/1997",1670,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/1998",7410,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/1999",7706,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/2000",2358,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/2001",1458,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/2002",1307,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/2003",1008,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/2004",5140,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/02/2005",2324,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/1994",5481,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/1995",5688,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/1996",1972,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/1997",1369,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/1998",7507,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/1999",7567,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/2000",1826,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/2001",1386,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/2002",1234,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/2003",1337,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/2004",6054,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/03/2005",2102,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/1986",1,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/1993",2,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/1994",1268,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/1995",1019,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/1996",6484,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/1997",7084,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/1998",6432,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/1999",1382,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/2000",426,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/2001",4069,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/2002",4461,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/2003",5160,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/04/2004",4510,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/1994",1050,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/1995",7346,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/1996",6198,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/1997",6417,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/1998",1769,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/1999",1496,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/2000",2087,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/2001",4789,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/2002",4412,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/2003",4168,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/05/2004",1459,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/1993",2464,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/1994",5935,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/1995",6583,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/1996",1086,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/1997",7269,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/1998",7873,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/1999",4510,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/2000",1512,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/2001",1283,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/2002",879,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/2003",5070,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/06/2004",4544,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/1993",2371,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/1994",1291,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/1995",1211,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/1996",6547,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/1997",6565,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/1998",6269,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/1999",2975,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/2000",298,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/2001",5038,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/2002",4688,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/2003",4784,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/07/2004",4319,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/1993",3227,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/1994",5342,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/1995",6241,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
"02/08/1996",5909,"oxnetdwp01.oxnet.nhs.uk","SUNQUEST","GLARK_VIEW"
